Date	Start	End	Tentative Hours Worked	Effective Hours worked	Notes		
Saturday, August 08, 2015	12:00:00 PM	12:00:00 AM	12:00	hole reclamation problems(1h)			
Sunday, August 09, 2015				fix hole reclamation (2h)			
Monday, August 10, 2015	10:00:00 AM	12:00:00 AM	14:00	"multiple edge collision fix(4h); shortcuts for 
Path straightening(1h)"			
Tuesday, August 11, 2015	11:00:00 AM	12:00:00 AM	13:00	trying to fix more hole reclamation problems(3h)	WARNING:PROCRASTINATION		
Wednesday, August 12, 2015	10:00:00 AM	12:00:00 AM	14:00	hole reclamation fixed!(2h) basic blocker building(1h)			
Thursday, August 13, 2015	10:00:00 AM	11:30:00 PM	13:30	Simple blockers!(2h)resource bugfixes, cleanup(2h)			
Friday, August 14, 2015	10:00:00 AM	07:30:00 PM	09:30	Blocker/hole graphics, lighting system for terrain(2h)	injury:(		
Saturday, August 15, 2015	10:00:00 AM	12:00:00 AM	14:00	PROCASTINATION! And pain:(			
Sunday, August 16, 2015							
Monday, August 17, 2015	10:00:00 AM	01:00:00 AM	15:00	Navmesh save/load to editable blob(2h). Some editor navmesh edit tool refactor(0.5h)			
Tuesday, August 18, 2015	10:00:00 AM	01:00:00 AM	15:00	navedit tools menu (2h)			
Wednesday, August 19, 2015	01:00:00 PM	01:00:00 AM	12:00	airport in the morning; navmesh crash fixes (2h)			
Thursday, August 20, 2015	10:00:00 AM	01:00:00 AM	15:00	navmesh insertion fixes and functionality(3h)			
Friday, August 21, 2015	10:00:00 AM	01:00:00 AM	15:00	"hub level rebuilt, many bugfixes(3h), 
hero gui updated for more heroes(1h)"			
Saturday, August 22, 2015	10:00:00 AM	01:00:00 AM	15:00	Royal guard/swordsman ability prefabs (2h)			
Sunday, August 23, 2015							
Monday, August 24, 2015	10:00:00 AM	12:00:00 AM	14:00	4 more hero prototypes(6h)			
Tuesday, August 25, 2015	10:00:00 AM	12:00:00 AM	14:00	attackpoint events from animations(2h)			
Wednesday, August 26, 2015	10:00:00 AM	12:00:00 AM	14:00	castpoint events from animations, gui update &bugfixes, debug animation info(2h)			
Thursday, August 27, 2015	10:00:00 AM	01:00:00 AM	15:00	taunt functionality, resurrect functionality for paladin skills, attack cooldown fixes, animation fixes(3.5h)			
Friday, August 28, 2015	10:00:00 AM	01:00:00 AM	15:00	ranger abilities(3h), movespeed bugfixes, facing bugfixes(1h)			
Saturday, August 29, 2015	10:00:00 AM	12:00:00 AM	14:00	priest abilities(2h), some fire mage ablities(1h)			
Sunday, August 30, 2015							
Monday, August 31, 2015	10:00:00 AM	12:00:00 AM	14:00	fire mage + ice mage abilities(4h); some projectile work(0.5h)			
Tuesday, September 01, 2015	10:00:00 AM	12:00:00 AM	14:00	projectile work(2h)			
Wednesday, September 02, 2015	10:00:00 AM	12:00:00 AM	14:00	projectile work(2h), arced projectiles(1h), gui encounter select(1h)			
Thursday, September 03, 2015	10:00:00 AM	12:00:00 AM	14:00	Boards + gfx alpha blend fixing(2h); font colors(1h)			
Friday, September 04, 2015	10:00:00 AM	12:00:00 AM	14:00	font colors complete(3h); openal integration(2h)			
Saturday, September 05, 2015	10:00:00 AM	12:00:00 AM	14:00	openal integration, basic + looping sounds(3h)			
Sunday, September 06, 2015	10:00:00 AM	12:00:00 AM	14:00	more audio work(2h)			
Monday, September 07, 2015	10:00:00 AM	12:00:00 AM	14:00	ui updates for starting the encounter(1h); musing on boss scripts(1h)	"Prefer c-style function pointers if the functions are < 100 lines and many (eg. Abilities and callbacks)
C++style polymorphism used for heavier scripts, contents > 300 lines
"		
Tuesday, September 08, 2015	10:00:00 AM	12:00:00 AM	14:00	necromancer boss work + bugfixes(2h); some project cleanups(1h)			
Wednesday, September 09, 2015	11:00:00 AM	12:00:00 AM	13:00	necromancer boss ult working; bugfixes(3h)			
Thursday, September 10, 2015	11:00:00 AM	12:00:00 AM	13:00	Hanging text for units(1h); animation duration tweaks(1h); Feedback sounds(3h)	- better to make a state machine for controlling sub-phases of an ability (esp. boss ultimates)		
Friday, September 11, 2015	11:00:00 AM	12:00:00 AM	13:00	"Listener, + rolloff for sounds added(1h), 
pathing endpoint detection rework(2h), 
Camera focus for hero(0.5h)"	musing on how to improve runtime compiled cpp		
Saturday, September 12, 2015	11:00:00 AM	12:00:00 AM	13:00	attempting improved runtime cpp tests(1h), merge game with frontend(3h)	"Dll live reload
Facts: 
- static data will be reloaded in dlls
- stored function pointers  need to be reloaded
Solns:
1) reload only a subset of gameplay code
- Problems: Calls to the rest of the library need to be done through a global context. 
2) change entire backend, framework and frontend to a dll
- problems: remove/modify third party libraries that use statics. Remove statics(inc singletons)"		
Sunday, September 13, 2015	11:00:00 AM	03:00:00 PM	04:00	Some royal guard skills updated(2h), circle gui to show cast ranges/self aoe range(1h), some bugfixes			
Monday, September 14, 2015	11:00:00 AM	01:00:00 AM	14:00	cleanups; optimizations for pathing(4h), opt for rendering(2h); developer mode(1h)	Build monitor: 45mins		
Tuesday, September 15, 2015	11:00:00 AM	01:00:00 AM	14:00	opt for pathing(2h); necromancer ult improvements(2h);	Build monitor: 21mins		
Wednesday, September 16, 2015	11:00:00 AM	12:00:00 AM	13:00	prototype gameplay efx system with 4 effects(3h); seperate floor and blocker mesh(2h)			
Thursday, September 17, 2015	11:00:00 AM	04:00:00 AM	17:00	correcting terrain mesh shadows(2h), working on interpolation system for terrain(1h) PROCASTINATION!	Build monitor: 19mins		
Friday, September 18, 2015	11:00:00 AM	02:00:00 AM	15:00	finish interp terrain(2h), changed icemake polygons(2h)	Build monitor: 12mins		
Saturday, September 19, 2015	11:00:00 AM	04:00:00 AM	17:00	holes and blockers now push targets away(2h)PROCASTINATION!			
Sunday, September 20, 2015	01:00:00 PM	04:00:00 PM	03:00	projectile now inserts a circle(1h), trails for projectile(1h)			
Monday, September 21, 2015	03:00:00 PM	03:00:00 AM	12:00	refactor scripts(2h); lightmage boss ultimate work(2h)			
Tuesday, September 22, 2015	11:00:00 AM	02:30:00 AM	15:30	"lightmage boss ult + 1 ability(2h); 
Mousecursor clip to main window(0.25h);
got rid of singleton usage(2h)"			
Wednesday, September 23, 2015	11:00:00 AM	02:30:00 AM	15:30	"Intro sequence(3h); some balancing(1h);
getting rid of static variable usage(3h)"			
Thursday, September 24, 2015	11:00:00 AM	11:30:00 PM	12:30	getting rid of static variable usage(3h)			
Friday, September 25, 2015	12:00:00 PM	12:00:00 AM	12:00	Basic live code reload(3h)			
Saturday, September 26, 2015	01:00:00 PM	12:00:00 AM	11:00	live code reload work(1h)			
Sunday, September 27, 2015	01:00:00 PM	12:00:00 AM		debugging live code reload bug causes(1h)			
Monday, September 28, 2015	12:00:00 PM	12:00:00 AM	12:00	found  live reload crash bug cause(1h)			
Tuesday, September 29, 2015	12:00:00 PM	12:00:00 AM	12:00	Basic dll live reload (2h)			
Wednesday, September 30, 2015	11:00:00 AM	12:00:00 AM	13:00	livecode finished(3h); enum descriptors(1h); navreplays(2h)			
Thursday, October 01, 2015	11:00:00 AM	12:00:00 AM	13:00	Edges removed upon navmesh modification(2h); 1 bugfix for navmesh modifcation(2h)			
Friday, October 02, 2015	11:00:00 AM	04:00:00 AM	17:00	Bugfixing navmesh modifications(2h) PROCASTINATION!			
Saturday, October 03, 2015	12:00:00 PM	04:00:00 AM	16:00	Bugfixing navmesh modifications(1h)PROCASTINATION!			
Sunday, October 04, 2015							
Monday, October 05, 2015	12:00:00 PM	12:00:00 AM	12:00	basic replay system with select/move/attack/amove cmds(3h)			
Tuesday, October 06, 2015	12:00:00 PM	02:00:00 AM	14:00	"basic rewinding(3h); ui cleanup + prep for ui slider(1h); 
Navmesh bugfix attempt(1h)"			
Wednesday, October 07, 2015	12:00:00 PM	03:00:00 AM	15:00	navmesh bugfix attempt(2h)			
Thursday, October 08, 2015	12:00:00 PM	03:00:00 AM	15:00	"navmesh bugfix attempt(1h); fixed cursor busy problem(1h);
"			
Friday, October 09, 2015	05:00:00 AM	03:00:00 AM	22:00	"plan for intro scene(2h); finished up uislider(2h);
animated cursors(6h)"			
Saturday, October 10, 2015	12:00:00 PM	04:00:00 AM	16:00	"Auto-revert selection when not controlling controllable 
units(2h); Flashing circle on attack(1h); bugfix for attack 
move not moving to endpt(0.5h); ability button feedback(4h)"	alternative navmesh modification model: blockers now use standard constraint removal, projectile now just clears them on hit. Make forming blocks full of smaller triangles		
Sunday, October 11, 2015	12:00:00 PM	03:00:00 PM	03:00	replay play/pause, speedup/down(1h)			
Monday, October 12, 2015	12:00:00 PM	04:00:00 AM	16:00	"ui animations reloadable(4h); code-based scaling animation(1h); ability icons
Replaced and repositioned(1h)"	"code refactor takes longer for less benefit?!
Build Monitor – 16mins"		
Tuesday, October 13, 2015	11:30:00 AM	05:00:00 AM	17:30	"modeless for input abilties/stop/hold commands(1h), gui input absorbtion(2h);
Tuning for ability text(0.5h); intro sequence updates(0.5h)"			
Wednesday, October 14, 2015	11:30:00 AM	03:00:00 AM	15:30	box area spatials(0.5h); intro sequence updates(2h), sleeping z animation(1h), animated scrolling text(3h)			
Thursday, October 15, 2015	12:30:00 PM	03:30:00 AM	15:00	intro sequence bugfixes + work(2h); PROCRASTINATION!!			
Friday, October 16, 2015	12:30:00 PM	03:00:00 AM	14:30	intro sequence work(2h), setactive for everything(1h)			
Saturday, October 17, 2015	12:30:00 PM	03:00:00 AM	14:30	intro sequence work(2h)			
Sunday, October 18, 2015	12:30:00 PM	03:00:00 PM	02:30	intro sequence work(1h)			
Monday, October 19, 2015	12:30:00 PM	01:00:00 AM	12:30	intro sequence(1h); intro encounter 01(1h)			
Tuesday, October 20, 2015	12:30:00 PM	01:00:00 AM	12:30	intro sequence(1h); kiddo encounter(1h); PROCRASTINATION!!!	Need more direction/reference material on bosses?!		
Wednesday, October 21, 2015	12:30:00 PM	12:00:00 AM	11:30	polishing intro sequence, userbility issues(2h); PROCRASTINATION!!!			
Thursday, October 22, 2015	12:30:00 PM	12:00:00 AM	11:30	Epsilon bugfix, PROCASTINATION!(0h)			
Friday, October 23, 2015	12:30:00 PM	01:00:00 AM	12:30	lots of navmesh change fixes(4h); projectiles now change faces(2h)			
Saturday, October 24, 2015	12:30:00 PM	01:00:00 AM	12:30	navmesh discrete piece insertion experiments(4h)			
Sunday, October 25, 2015							
Monday, October 26, 2015	02:30:00 PM	12:00:00 AM	09:30	"ice make shape changed(1h);reclaiming land: indication of inavalid placement errors, 
shapes change as per land/hole modification(3h)"			
Tuesday, October 27, 2015	02:30:00 PM	01:00:00 AM	10:30	navmesh edge insertion bugfix no longer using adjacencies(3h)			
Wednesday, October 28, 2015	01:30:00 PM	01:00:00 AM	11:30	navmesh edge insertion bugfix, epsilons removed(2h), recording edge removals(1h)	crash rate for insertion close to 0 now (but still retains edges with crossval 0)		
Thursday, October 29, 2015	01:30:00 PM	01:00:00 AM	11:30	navmesh removal bugfix(2h)	time to consider alternative to prevent crashes due to epsilon		
Friday, October 30, 2015	11:30:00 AM	12:00:00 AM	12:30	navmesh more safety returns/bugfixes(4h)	"Localization tip: http://games.greggman.com/game/designing_games_for_localization/
Use horizontal button bars so we have more space for localized text
Artstyle tip: 
http://forums.tigsource.com/index.php?topic=44840.0
- If it doesnt look good in black n white, it doesnt look good
- 2d: grab a screenshot of a level unlit, and use that as the background layer, working new assets on top of that in another layer (transferring after their finished)"		
Saturday, October 31, 2015	11:30:00 AM	12:00:00 AM	12:30	navmesh fixes, target dummies, test build (2h)			
Sunday, November 01, 2015							
Monday, November 02, 2015	11:30:00 AM	02:00:00 AM	14:30	reading up on artstyles, terrain, deciding objectives (3h)			
Tuesday, November 03, 2015	11:30:00 AM	01:00:00 AM	13:30	setup terrain texturing(2h), PROCRASTINATION!			
Wednesday, November 04, 2015	01:30:00 PM	01:00:00 AM	11:30	bugfixes with terrain texturing, winding orders(3h)			
Thursday, November 05, 2015	11:30:00 AM	01:00:00 AM	13:30	terrain splat for holes to flatground(2h), PROCRASTINATION!			
Friday, November 06, 2015	11:30:00 AM	02:00:00 AM	14:30	"terrain splat for holes to flatground texcoord changes(2h), 
writing whitebox texture to external file(3h)"			
Saturday, November 07, 2015	11:30:00 AM	01:00:00 AM	13:30	animating splat texture + bugfixes(4h)			
Sunday, November 08, 2015							
Monday, November 09, 2015	11:30:00 AM	02:00:00 AM	14:30	"terrain splat conversion to intermediate texture(2h); 
triplanar mapping does not work(2h)
PROCRASTINATION!!"			
Tuesday, November 10, 2015	11:30:00 AM	02:00:00 PM	02:30	trying to solve sideplane problems(1h); LOTV out!			
Wednesday, November 11, 2015	11:30:00 AM	04:00:00 PM	04:30	Terrain hole sideplanes implemented(2h). LOTV!!!			
Thursday, November 12, 2015	01:00:00 PM	06:00:00 PM	05:00	Terrain hole sideplane textures fixed(2h) PROCRASTINATION!!!			
Friday, November 13, 2015	01:00:00 PM	01:00:00 AM	12:00	 PROCASTINATION!!!			
Saturday, November 14, 2015	01:00:00 PM	01:00:00 AM	12:00	undersideplane animations(2h)  PROCASTINATION!!!			
Sunday, November 15, 2015							
Monday, November 16, 2015	10:30:00 AM	01:00:00 AM	14:30	cleanups, particle work(1h) PROCASTINATION!!			
Tuesday, November 17, 2015	10:30:00 AM	01:00:00 AM	14:30	Billboard particle system simple rendering(6h)			
Wednesday, November 18, 2015	10:30:00 AM	01:00:00 AM	14:30	billboard particle bugfixes with hlsl packing(2h)			
Thursday, November 19, 2015	10:30:00 AM	01:00:00 AM	14:30	particle emitter functionalities(2h)			
Friday, November 20, 2015	11:30:00 AM	01:00:00 AM	13:30	particle sorting, ribbon thinkthrough(3h)			
Saturday, November 21, 2015	10:30:00 AM	01:00:00 AM	14:30	ribbon work(4h)			
Sunday, November 22, 2015				some ribbon work(1h)			
Monday, November 23, 2015	12:30:00 PM	02:00:00 AM	13:30	First ribbon implementation(3h)			
Tuesday, November 24, 2015	12:30:00 PM	02:00:00 AM	13:30	Ribbon sorting work, optimizing staticmesh, untracked meshes(3h)			
Wednesday, November 25, 2015	12:30:00 PM	12:00:00 AM	11:30	deciding what to impl(0h)			
Thursday, November 26, 2015	12:30:00 PM	02:00:00 AM	13:30	deciding what to impl(0h)			
Friday, November 27, 2015	12:30:00 PM	12:00:00 AM	11:30	gameplayboarding(3h)			
Saturday, November 28, 2015	12:30:00 PM	06:00:00 PM	05:30	Navedit stamping reload; navedit scaling(2h)			
Sunday, November 29, 2015							
Monday, November 30, 2015	11:30:00 AM	01:00:00 AM	13:30	Encounter #2 gameplayboarding(1h); work on script kiddie encounter(1h)			
Tuesday, December 01, 2015	11:30:00 AM	01:00:00 AM	13:30	script kiddie encounter ability work(2h); PROCASTINATION!!!			
Wednesday, December 02, 2015	11:30:00 AM	01:00:00 AM	13:30	some refactoring for boss encounters and script ids(3.5h)			
Thursday, December 03, 2015	06:00:00 PM	01:00:00 AM	07:00	script kiddie encounter(2h)			
Friday, December 04, 2015	11:30:00 AM	01:00:00 AM	13:30	stamp rotation, hardcode cursor stamp, initial landmass for buddha enc(3h)	making encounters should be done in timespan of 2-4 days		
Saturday, December 05, 2015	11:30:00 AM	01:00:00 AM	13:30	buddha encounter, destruction palm ability(2h)			
Sunday, December 06, 2015							
Monday, December 07, 2015	01:30:00 PM	12:00:00 AM	10:30	gfxcmp now uses non-ptr transforms(1h); destruction palm ability(3h)			
Tuesday, December 08, 2015	11:30:00 AM	12:00:00 AM	12:30	Pushing mechanics(3h), falling down(1h), levitation collision(1h), levitation pathing wip(1h)			
Wednesday, December 09, 2015	03:30:00 PM	12:00:00 AM	08:30	levitation pathing+gameplay(2h), bugfixes for gfx(1h), buddha ultimate ability(1h)			
Thursday, December 10, 2015	03:30:00 PM	12:00:00 AM	08:30	added fieldofsuffering ability(1h), bugfix for linking to ability(0.5h)			
Friday, December 11, 2015	03:30:00 PM	12:00:00 AM	08:30	actionlist musing(0h); PROCASTINATION!			
Saturday, December 12, 2015	03:30:00 PM	12:00:00 AM	08:30	actionlist musing(0h); PROCASTINATION!			
Sunday, December 13, 2015							
Monday, December 14, 2015	11:30:00 AM	12:00:00 AM	12:30	actionlist musing + integration(3h); POSTEVENING YOUTUBE PROCASTINATION!!			
Tuesday, December 15, 2015	11:30:00 AM	12:00:00 AM	12:30	buddha boss tuning(4h); bugfixes with navmesh(1h)			
Wednesday, December 16, 2015	11:30:00 AM	11:00:00 AM	23:30	buddha boss tuning(2h); bugfixes with projectiles/triggers/steering(1h)			
Thursday, December 17, 2015	10:30:00 AM	11:00:00 PM	12:30	intro rework wip(2h); hub rework			
Friday, December 18, 2015	10:30:00 AM	12:00:00 AM	13:30	intro rework wip(2h); fixing atb member visitation(3h)			
Saturday, December 19, 2015	01:30:00 PM	12:00:00 AM	10:30	Refactoring unit prefabs(3h)			
Sunday, December 20, 2015							
Monday, December 21, 2015	11:00:00 AM	12:00:00 AM	13:00	hub rework, hall of heroes(3h); encounter selection work(2h)	scaling: scale at different # of players, and selected difficulty		
Tuesday, December 22, 2015	11:00:00 AM	12:00:00 AM	13:00	added navbound cmp, 'permanent additions' to navmesh(4h)			
Wednesday, December 23, 2015	11:00:00 AM	12:00:00 AM	13:00	PROCASTINATION! Hub intro work(1h)			
Thursday, December 24, 2015	11:00:00 AM	12:00:00 AM	13:00	16 iterations on hub intro, bugfixes, navmesh insertion fix (4h)			
Friday, December 25, 2015	11:00:00 AM	12:00:00 AM	13:00	"decision to remove barriers and replace with units instead; 
navmesh merge constraint edges fixes(2h);
Atb basic type array bugfix(1h)"	PROCASTINATION! OMFG! MERRY CHRISTMAS		
Saturday, December 26, 2015	11:00:00 AM	12:00:00 AM	13:00	intro trimmed and reworked even further (3h)			
Sunday, December 27, 2015							
Monday, December 28, 2015	11:00:00 AM	12:00:00 AM	13:00	10/16 iterations; intro polish + hints, hub work, items wip (4h)			
Tuesday, December 29, 2015	11:00:00 AM	12:00:00 AM	13:00	16/16 iterations;Using new maintenence-free enums(2h), items work(5h)			
Wednesday, December 30, 2015	11:00:00 AM	02:00:00 AM	15:00	7/16 iterations; item use, additional item use checks, instant casting, gui bugfixes(4h)			
Thursday, December 31, 2015	11:00:00 AM	01:00:00 AM	14:00	7/16 iterations;item work, saving acroos boundaries, enum rework (5h)			
Friday, January 01, 2016	12:00:00 PM	01:00:00 AM	13:00	4/16 iterations; item work (2h), working on shops(1h)			
Saturday, January 02, 2016	04:00:00 PM	01:00:00 AM	09:00	item shop registering, item shop buyer selection(2h)			
Friday, January 02, 2015							
